name,place_id,formatted_address,latitude,longitude,rating,user_ratings_total,website,phone_number,search_query,search_location,category,planning_area,weighted_average_income,total_households,has_website,has_phone,has_rating,search_coverage
Physique 900 Fitness Club,ChIJVZ5cmI0Z2jERIyq83y79pSo,"83 Keong Saik Rd., #03-01, Singapore 089168",1.282103,103.8423296,5.0,7,http://www.physique900.com/,8389 1900,fitness_center,"Chinatown, Singapore",Fitness Studio,OUTRAM,9371.743688254664,5466.0,True,True,True,Local
Gold's Gym Personal Training - Bugis,ChIJEU_-aaUZ2jERfUAFODEKcaY,"21 Bali Ln, Singapore 189857",1.3009203,103.8586299,4.8,11,http://www.goldsgym.com.sg/,8153 7888,fitness_center,"Kampong Glam, Singapore",Fitness Studio,ROCHOR,0.0,0.0,True,True,True,Local
Fire City,ChIJOxaXfMkZ2jERdh6-DJBL7ps,"51 Kampong Bugis, #01-06, Singapore 338986",1.3073814,103.8671708,4.6,44,http://www.thefirecity.com/,9113 8587,fitness_center,"Kampong Glam, Singapore",Fitness Studio,KALLANG,10084.228177543,31046.0,True,True,True,Local
Kampong Glam Community Club,ChIJq6qqcrEZ2jERtJYskj9TJiA,"385 Beach Rd, Singapore 199581",1.3029472,103.8635062,4.1,361,https://www.onepa.gov.sg/cc/kampong-glam-cc,6295 0741,fitness_center,"Kampong Glam, Singapore",Fitness Studio,KALLANG,10084.228177543,31046.0,True,True,True,Local
Homeground Gym Tampines,ChIJm3vMKls92jERql2j27l26iQ,"476 Tampines Street 44, #01-169, Singapore 520476",1.3606285,103.9536992,4.7,137,http://www.homegroundgym.com/tampines,9867 9289,fitness_center,"Tampines, Singapore",Fitness Studio,PASIR RIS,11846.999197728956,40510.0,True,True,True,Local
Fitness First - Tampines (CPF building),ChIJV1VV7RE92jER8ASeTYkCiKc,"1 Tampines Central #04-01 & #05-01, CPF Tampines Building, Singapore 529508",1.3530306,103.9437137,4.6,536,https://www.fitnessfirst.com.sg/clubs/tampines-cpf-building?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-club-landing-page,6713 9120,fitness_center,"Tampines, Singapore",Fitness Studio,TAMPINES,10327.216990999425,72662.0,True,True,True,Local
REVL Training Tampines,ChIJjQj-PHs92jERw4ygLqMwgwU,"6 Tampines Street 92, #01-05, Singapore 528893",1.343048,103.9415978,5.0,25,https://revltraining.sg/locations/tampines/,8066 9502,fitness_center,"Tampines, Singapore",Fitness Studio,TAMPINES,10327.216990999425,72662.0,True,True,True,Local
HomeTeamNS Fitness Workz Garage,ChIJ5Ronvlg92jERdunoyaPPt9c,"900 Bedok North Rd, Singapore 479994",1.3414933,103.918978,4.7,113,https://www.hometeamns.sg/fitnessworkz/bedokreservoir/,6705 9412,fitness_center,"Bedok, Singapore",Fitness Studio,PAYA LEBAR,0.0,0.0,True,True,True,Local
Fitness Corner in Bedok Reservoir Park South,ChIJR48acgA92jERbh5wpsizD6E,"739A Bedok Reservoir Rd, Singapore 471739",1.3393125,103.9228299,4.3,3,,,fitness_center,"Bedok, Singapore",Fitness Studio,PAYA LEBAR,0.0,0.0,False,False,True,Local
The Gym Pod @ Bedok Reservoir Park,ChIJWTMBhOA92jERTHuUejWSkNI,"Bedok Reservoir Rd, Singapore",1.3393082,103.9338867,5.0,3,,,fitness_center,"Bedok, Singapore",Fitness Studio,BEDOK,10710.615373350993,78532.0,False,False,True,Local
